SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
BH24,BH,RACK-SPI,"HAT SECTION-STEP BEAM-SPI-24""UR DEPTH- 3/4"" RECESS",55,,,"24""",,,,,2.6 lbs,,
BH32,BH,RACK-SPI,"HAT SECTION-STEP BEAM-SPI-32""UR DEPTH- FLUSH DECKING SUPPORT",55,,,"32""",,,,,3.5 lbs,,
BH36,BH,RACK-SPI,"HAT SECTION-STEP BEAM-SPI-36""UR DEPTH- 3/4"" RECESS",55,,,"36""",,,,,3.5 lbs,,
BH42,BH,RACK-SPI,"HAT SECTION-STEP BEAM-SPI-42""UR DEPTH- 3/4"" RECESS",55,,,"42""",,,,,4.1 lbs,,
BH48,BH,RACK-SPI,"HAT SECTION-STEP BEAM-SPI-48""UR DEPTH- 3/4"" RECESS",55,,,"48""",,,,,4.8 lbs,,
BF24,BF,RACK-SPI,"FLANGED CROSS BAR-STEPBEAM-24""UR DEPTH -PALLET RACK-2"" BEAM OPENINGS",55,,,"24""",,,,,4.6 lbs,,
BF36,BF,RACK-SPI,"FLANGED CROSS BAR-STEPBEAM-36""UR DEPTH nan",55,,,"36""",,,,,5.5 lbs,,
BF42,BF,RACK-SPI,"FLANGED CROSS BAR-STEPBEAM-42""UR DEPTH -PALLET RACK-SPI-2"" BEAM OPENINGS",55,,,"42""",,,,,6.4 lbs,,
BF48,BF,RACK-SPI,"FLANGED CROSS BAR-STEPBEAM-48""UR DEPTH -PALLET RACK-SPI-2"" BEAM OPENINGS",55,,,"48""",,,,,7.3 lbs,,
BD28,BD,RACK-SPI,"DRUM CRADLE-BEAM-16.5""Wx28""UPRIGHT DEPTH nan",55,,"16.5""","28""",,,,,20.5 lbs,,
BD32,BD,RACK-SPI,"DRUM CRADLE-BEAM-16.5""Wx32""UPRIGHT DEPTH nan",55,,"16.5""","32""",,,,,23.0 lbs,,
BD36,BD,RACK-SPI,"DRUM CRADLE-BEAM-16.5""Wx36""UPRIGHT DEPTH nan",55,,"16.5""","36""",,,,,26.0 lbs,,
BD42,BD,RACK-SPI,"DRUM CRADLE-BEAM-16.5""Wx42""UPRIGHT DEPTH nan",55,,"16.5""","42""",,,,,29.0 lbs,,
BD48,BD,RACK-SPI,"DRUM CRADLE-BEAM-16.5""Wx48""UPRIGHT DEPTH nan",55,,"16.5""","48""",,,,,33.0 lbs,,
B2,B2,RACK-SPI,GRAVITY PIN-KEYSTONE BEAM-PALLET RACK nan,55,,,,,,,,0.09 lbs,,part
MF,MF,MEZZ,MEZZANINE-FORMED SUPPORT STRUCTURE-SPI- LENGTH=     -WIDTH=    -DECK H=,65,,,,,,,,0.0 lbs,,
MG,MG,MEZZ,"GATE-SWING:IN- MEZZ-OSHA-SPI-WIDTH=48"" SINGLE HUNG-42""H-TOP MOUNTED SYSTEM",65,,"48""",,,,,,72.0 lbs,,
DC,MP DECK,MP DECK,"METAL PLANK DECKING-SPI-LOUVER HOLE-G90 9 ""Wx1.5""Dx18 GA",70,,"9""","1.5""",18,,,,2.3 lbs,,
DD,MP DECK,MP DECK,"METAL PLANK DECKING-SPI-LOUVER HOLE- GALVANIZED-9 ""Wx1.5""Dx20 GA",70,,,,20,,,,1.9 lbs,,
DAF,MP DECK,MP DECK,"FILLER-METAL PLANK DECKING-SPI-NO HOLES- G90 GALVANIZED-       ""Dx14 GAx",70,,,,14,,,,0.0 lbs,,
DBF,MP DECK,MP DECK,"FILLER-METAL PLANK DECKING-SPI-NO HOLES- G90 GALVANIZED-       ""Dx16 GAx",70,,,,16,,,,0.0 lbs,,
DCF,MP DECK,MP DECK,"FILLER-METAL PLANK DECKING-SPI-NO HOLES- G90 GALVANIZED-       ""Dx18 GAx",70,,,,18,,,,0.0 lbs,,
DDF,MP DECK,MP DECK,"FILLER-METAL PLANK DECKING-SPI-NO HOLES- GALVANIZED-       ""Dx20 GAx",70,,,,20,,,,0.0 lbs,,
MC,MC,MEZZ,"CORNER POST-OUTSIDE CORNER-42""H HANDRAIL TOP MOUNT.(NO BACKUP PLATE) 2-RAIL",65,,,,,,,,12.0 lbs,,
ML,ML,MEZZ,"LINE POST-MEZZANINE-42""H HANDRAIL-2 RAIL TOP MOUNTED SYSTEM W/BACKUP PLATE",65,,,,,,,,8.0 lbs,,
MA,MA,MEZZ,"LANDING-MEZZANINE/STAIR-48""Wx48""Dx TOP OF DECK=      -EXIT=",65,,"48""","48""",,,,,175.0 lbs,,
